city,club,state,url
Birmingham,Alabama Mineral & Lapidary Society,Alabama,http://www.lapidaryclub.com/
Dothan,Dothan Gem & Mineral Club,Alabama,http://www.wiregrassrockhounds.com/
Huntsville,Huntsville Gem and Mineral Society,Alabama,http://huntsvillegms.org/
Mobile,Mobile Rock & Gem Society,Alabama,http://www.mobilerockandgem.com/
Montgomery,Montgomery Gem & Mineral Society,Alabama,http://montgomerygemandmineralsociety.com/mgms/
Anchorage,Chugach Gem & Mineral Society,Alaska,http://www.chugachgemandmineralsociety.com/
Palmer,Mat-Su Rock and Mineral Club,Alaska,http://matsurockclub.com/
Apache Junction,Apache Junction Rock and Gem Club,Arizona,http://www.ajrockclub.com/
Black Canyon City,Black Canyon City Rock Club,Arizona,http://www.bccrockclub.mysite.com/
Anthem,Daisy Mountain Rock & Mineral Club,Arizona,http://www.dmrmc.com/
Miami,Gila County Gem & Mineral Society,Arizona,http://gilagem.org/
Sierra Vista,Huachuca Mineral and Gem Club,Arizona,http://www.huachucamineralandgemclub.info/
Lake Havasu City,Lake Havasu Gem & Mineral Society,Arizona,http://www.lakehavasugms.org/
Scottsdale,Mineralogical Society of Arizona,Arizona,http://www.msaaz.org/
Cottonwood,Mingus Gem & Mineral Club,Arizona,http://www.mingusclub.org/
Kingman,Mohave County Gemstoners,Arizona,http://www.gemstoners.org/
Tucson,Old Pueblo Lapidary Club,Arizona,http://www.lapidaryclub.org/
Prescott Valley,Prescott Gem & Mineral Club,Arizona,http://www.prescottgemmineral.org/
Quartzsite,Quartzsite Roadrunners Gem & Mineral Club,Arizona,http://www.qrgmc.org/
Phoenix,Rockhounds West,Arizona,http://rockhounds.scwclubs.com/
Sedona,Sedona Gem & Mineral Club,Arizona,http://www.sedonagemandmineral.org/
Bullhead City,Silvery Colorado River Rock Club,Arizona,http://scrrc.blogspot.com/
Pearce,Sunsites Gem and Mineral Club,Arizona,https://sites.google.com/site/cochisecountyrock/
Tucson,Tucson Gem and Mineral Society,Arizona,http://www.tgms.org/
Cottonwood,Verde River Rockhounds,Arizona,http://www.verderiverrockhounds.com/
Buckeye,West Valley Rock & Mineral Club,Arizona,http://www.westvalleyrockandmineralclub.com/
Show Low,White Mountain Gem & Mineral Club,Arizona,http://whitemountain-azrockclub.org/
Wickenburg,Wickenburg Gem and Mineral Society,Arizona,http://www.wickenburggms.org/
Little Rock,"Central Arkansas Gem, Mineral and Geology Society",Arkansas,http://www.centralarrockhound.org/
Siloam Springs,Northwest Arkansas Gem & Mineral Society,Arkansas,http://www.nwarockhounds.org/
