Title,Tag,Summary,Url,Rating,Make_Again_Pct
Buttermilk Waffles,recipe,"This classic recipe from the Gourmet archives is waffle perfection. Make them for Father’s Day so Dad can fill each crevice with butter and syrup, cream and berries, or—if he’s that kind of dad—barbecue sauce and bacon.",/recipes/food/views/buttermilk-waffles,4,100%
What to Cook This Weekend: May 10–12,gallery,"Make Mama something special this Mother's Day, like buttermilk waffles, lemony salmon with asparagus, or grilled short ribs with mustard-orange dressing.",/recipes-menus/what-to-cook-this-weekend-may-10-12-gallery,,
This Waffle Pan Will Increase Your Instagram Following,article,But the Hong Kong egg waffle is more than just good looks.,/expert-advice/hong-kong-egg-waffle-pan-article,,
Big-Batch Pancake and Waffle Mix,recipe,"This pancake mix works just as well for sweet or savory pancakes, crepes, or waffles.",/recipes/food/views/big-batch-pancake-and-waffle-mix,3,0%
What to Cook This Weekend: June 14-16,gallery,"The waffles, chicken wings, and killer egg sandwich are for dad. The spicy pork bowl and brownies are for you.",/recipes-menus/what-to-cook-this-weekend-june-14-16-2019-gallery,,
The Make-Ahead Pancake Mix That's Not Just for Breakfast,article,"Here are 10 dinners—yes, dinners—you can make with it.",/expert-advice/homemade-pancake-mix-how-to-use-article,,
Gluten-Free Chocolate and Buckwheat Waffles,recipe,"If you want to make these without buttermilk, substitute 2 cups alt-milk plus 2 Tbsp. distilled white vinegar.",/recipes/food/views/gluten-free-chocolate-and-buckwheat-waffles,2.5,50%
"56 Ricotta Dishes, from Gnocchi to Cheesecake",gallery,"This Italian cheese makes everything better, be it lasagna or waffles.",/ingredients/our-favorite-ricotta-dishes-recipes-gallery,,
9 Tools That'll Revamp Your Breakfast Routine,gallery,"From your Tuesday morning running-out-the-door smoothie to your Sunday morning waffles, these are all the tools you need to eat the best breakfast any day of the week.",/expert-advice/9-tools-breakfast-routine-gallery,,
36 Ways to Use Up Leftover Ham,gallery,You rocked the big baked-ham dinner. Now it's time to rock the leftovers.,/recipes-menus/11-recipes-for-leftover-ham-gallery,,
53 Make-Ahead Father's Day Breakfasts,gallery,Make breakfast the day before and everyone can sleep in on Father's Day.,/recipes-menus/10-make-ahead-father-s-day-breakfasts-gallery,,
21 Plum Delicious Desserts,gallery,"Cake, pudding, and pie: every way to serve the sweet-tart stone fruit.",/ingredients/plum-dessert-recipes-cake-pie-tart-gallery,,
The Best Waffle Makers for When That Sunday Morning Craving Hits ,article,We spent a day eating crispy waffles to find the best waffle maker for your breakfast needs.,/expert-advice/the-best-waffle-makers-article,,
What to Cook This Weekend: April 6-8,gallery,"Coffee-flavored waffles, spaghetti and meatballs, and perfect buttery omelettes—your weekend just got good.",/recipes-menus/what-to-cook-this-weekend-april-6-8-gallery,,
Corn Waffles with Strawberry Syrup,recipe,"Stir the last few kernels of fresh corn into these sweet-and-savory waffles. No fresh strawberries where you are? Frozen, or even sliced plums, work just as well.",/recipes/food/views/corn-waffles-with-strawberry-syrup,2.5,50%
Our Best Mother Day Brunch Ideas,gallery,"Whether she prefers avocado toast, strawberry waffles with plenty of syrup, or even a breakfast pizza, there's something here for everyone.",/holidays-events/breakfast-and-brunch-recipes-for-mothers-day-gallery,,
12 Kid-Friendly Party Foods Besides Pizza,article,Get out of the takeout pizza party rut.,/expert-advice/kid-friendly-party-foods-besides-pizza-article,,
This Easter Quiche Fits Everybody’s Taste (Except Your Friend Who Doesn’t Eat Eggs),article,"When you serve a plain and delicious quiche with a handful of toppings, your guests get to do Easter brunch exactly as they like.",/recipes-menus/easter-quiche-with-toppings-for-brunch-article,,
The Best Way to Clear Out All Those Lingering Condiments in Your Fridge,article,Stop hanging on to that last spoonful of hot chili jam from three years ago—it's time for it to go.,/ingredients/the-best-way-to-use-up-all-those-lingering-condiments-in-your-fridge-article,,
5 Ways to Use a Box Grater (That Have Nothing to Do With Cheese),article,It's more versatile than you think.,/expert-advice/4-ways-to-use-a-cheese-grater-that-have-nothing-to-do-with-cheese-article,,
27 Kid-Friendly Cooking Projects Your Kids Will Actually Be Into,gallery,These easy and exciting recipes get everyone involved.,/recipes-menus/kid-friendly-cooking-projects-gallery,,
Weekly Meal Plan: June 3-7,article,"Whip up some big-batch recipes on Sunday and Monday and use them in creative dinners later in the week. (Can you say ""cheesy pesto crepes""?)",/recipes-menus/weekly-meal-plan-june-3-7-2019-article,,
All the Things Your Kids Can Make With Store-Bought Biscuit Dough,article,"From monkey bread to garlic knots, there are so many easy recipes budding cooks can make with it.",/expert-advice/9-things-your-kids-can-make-with-store-bought-biscuit-dough-article,,
Crispy Cornmeal-Bacon Waffles,recipe,"Fold crisped and crumbled bacon into a cornmeal waffle batter for plenty of salty, savory crunch.",/recipes/food/views/crispy-cornmeal-bacon-waffles-109154,3,64%
