Rank,Title,Series,Number in series,Author,Rating,Number of ratings,Score,Votes
1,The Handmaid's Tale,,,Margaret Atwood,4.09,1101568,30733,314 people voted
2,The Hunger Games,The Hunger Games,1,Suzanne Collins,4.33,5741857,28553,292 people voted
3,Frankenstein,,,Mary Wollstonecraft Shelley,3.78,1023245,21909,224 people voted
4,A Wrinkle in Time,Time Quintet,1,Madeleine L'Engle,4.01,902852,18720,196 people voted
5,The Left Hand of Darkness,Hainish Cycle,4,Ursula K. Le Guin,4.06,98748,17920,184 people voted
6,Divergent,Divergent,1,Veronica Roth,4.21,2602296,13326,138 people voted
7,Catching Fire,The Hunger Games,2,Suzanne Collins,4.29,2200427,12749,133 people voted
8,The Giver,The Giver,1,Lois Lowry,4.12,1534799,12399,129 people voted
9,Kindred,,,Octavia E. Butler,4.23,72295,11070,116 people voted
10,The Dispossessed,Hainish Cycle,6,Ursula K. Le Guin,4.21,71617,10731,112 people voted
11,Oryx and Crake,MaddAddam,1,Margaret Atwood,4.01,197737,10117,107 people voted
12,Mockingjay,The Hunger Games,3,Suzanne Collins,4.03,2071712,9807,104 people voted
13,The Time Traveler's Wife,,,Audrey Niffenegger,3.96,1446554,9193,98 people voted
14,Doomsday Book,Oxford Time Travel,1,Connie Willis,4.03,43246,8935,96 people voted
15,The Lathe of Heaven,,,Ursula K. Le Guin,4.11,43979,7775,84 people voted
16,Ancillary Justice,Imperial Radch,1,Ann Leckie,3.98,66175,7336,81 people voted
17,Shards of Honour ,Vorkosigan Saga,1,Lois McMaster Bujold,4.11,25864,7017,75 people voted
18,To Say Nothing of the Dog,Oxford Time Travel,2,Connie Willis,4.13,29639,6890,74 people voted
19,The Sparrow,The Sparrow,1,Mary Doria Russell,4.17,52728,6873,72 people voted
20,Dragonflight,Dragonriders of Pern,1,Anne McCaffrey,4.10,116144,6802,74 people voted
21,Parable of the Sower,Earthseed,1,Octavia E. Butler,4.16,42215,6653,71 people voted
22,The Warrior's Apprentice,Vorkosigan Saga,2,Lois McMaster Bujold,4.29,20950,6087,65 people voted
23,Barrayar,Vorkosigan Saga,7,Lois McMaster Bujold,4.31,22106,5623,60 people voted
24,The Host,The Host,1,Stephenie Meyer,3.84,828920,5274,56 people voted
25,Insurgent,Divergent,2,Veronica Roth,4.05,1045701,4899,54 people voted
26,Memory,Vorkosigan Saga,10,Lois McMaster Bujold,4.45,13944,4682,51 people voted
27,The Children of Men,,,P.D. James,3.68,36097,4484,49 people voted
28,Starshine: Aurora Rising Book One,Aurora Rhapsody,1,G.S. Jennsen,3.91,2144,4394,45 people voted
29,The Year of the Flood ,MaddAddam,2,Margaret Atwood,4.06,92204,4343,47 people voted
30,Crystal Singer,Crystal Singer,1,Anne McCaffrey,4.09,17772,4235,47 people voted
31,Mirror Dance,Vorkosigan Saga,8,Lois McMaster Bujold,4.33,17324,4120,47 people voted
32,Lilith's Brood,Xenogenesis,,Octavia E. Butler,4.33,12567,4108,47 people voted
33,The Vor Game,Vorkosigan Saga,6,Lois McMaster Bujold,4.28,18975,3895,46 people voted
34,Wild Seed,Patternmaster,1,Octavia E. Butler,4.21,14424,3842,43 people voted
35,A Wind in the Door,Time Quintet,2,Madeleine L'Engle,4.04,106031,3700,42 people voted
36,A Civil Campaign,Vorkosigan Saga,12,Lois McMaster Bujold,4.43,14488,3683,43 people voted
37,Brothers in Arms,Vorkosigan Saga,5,Lois McMaster Bujold,4.21,13271,3653,43 people voted
38,Cetaganda,Vorkosigan Saga,9,Lois McMaster Bujold,4.17,14824,3618,43 people voted
39,The Snow Queen,The Snow Queen Cycle,1,Joan D. Vinge,3.95,11142,3535,43 people voted
40,Cinder,The Lunar Chronicles,1,Marissa Meyer,4.15,582657,3440,38 people voted
41,Downbelow Station,The Company Wars,1,C.J. Cherryh,3.91,12106,3381,40 people voted
42,The Ship Who Sang,Brainship,1,Anne McCaffrey,4.01,21157,3361,39 people voted
43,Dragon Dawn,Dinosaurian Time Travel,1,Deborah O'Neill Cordes,3.81,194,3340,34 people voted
44,Dragonsong,Harper Hall,1,Anne McCaffrey,4.25,43805,3092,36 people voted
45,Falling Free,Vorkosigan Saga,4,Lois McMaster Bujold,3.83,16009,3054,37 people voted
46,Ethan of Athos,Vorkosigan Saga,3,Lois McMaster Bujold,3.76,11387,2904,36 people voted
47,A Swiftly Tilting Planet,Time Quintet,3,Madeleine L'Engle,4.11,95079,2831,32 people voted
48,Dawn,Xenogenesis,1,Octavia E. Butler,4.12,22763,2755,32 people voted
49,Komarr,Vorkosigan Saga,11,Lois McMaster Bujold,4.30,12905,2579,31 people voted
50,Foreigner,Foreigner,1,C.J. Cherryh,3.94,7155,2547,30 people voted
51,Where Late the Sweet Birds Sang,,,Kate Wilhelm,3.87,8278,2535,30 people voted
52,Beggars in Spain,Sleepless,1,Nancy Kress,3.94,6810,2526,30 people voted
53,Her Smoke Rose Up Forever,,,James Tiptree Jr.,4.21,3311,2524,29 people voted
