title,year,url,popularity
(Get Off Your) High Horse Lady,2008,http://www.metrolyrics.com/get-off-your-high-horse-lady-lyrics-oasis.html,0
(I Got) The Fever,2007,http://www.metrolyrics.com/i-got-the-fever-lyrics-oasis.html,1
(Probably) All in the Mind,2008,http://www.metrolyrics.com/probably-all-in-the-mind-lyrics-oasis.html,0
(You've Got) A Heart Of A Star,2007,http://www.metrolyrics.com/youve-got-a-heart-of-a-star-lyrics-oasis.html,4
A Bell Will Ring,2005,http://www.metrolyrics.com/a-bell-will-ring-lyrics-oasis.html,1
A Quick Peep,2007,http://www.metrolyrics.com/a-quick-peep-lyrics-oasis.html,0
Acquiesce,2006,http://www.metrolyrics.com/acquiesce-lyrics-oasis.html,4
Ain't Got Nothin,2008,http://www.metrolyrics.com/aint-got-nothin-lyrics-oasis.html,0
Alice,2017,http://www.metrolyrics.com/alice-lyrics-oasis.html,0
Alive,2006,http://www.metrolyrics.com/alive-lyrics-oasis.html,0
All Around The World,2006,http://www.metrolyrics.com/all-around-the-world-lyrics-oasis.html,5
All Around the World (Reprise),2017,http://www.metrolyrics.com/all-around-the-world-reprise-lyrics-oasis.html,0
All in The Mind,2006,http://www.metrolyrics.com/all-in-the-mind-lyrics-oasis.html,0
All You Need is Love,2006,http://www.metrolyrics.com/all-you-need-is-love-lyrics-oasis.html,0
Angel Child,2006,http://www.metrolyrics.com/angel-child-lyrics-oasis.html,1
Bag It Up,2008,http://www.metrolyrics.com/bag-it-up-lyrics-oasis.html,1
Be Here Now,2006,http://www.metrolyrics.com/be-here-now-lyrics-oasis.html,2
Better Let You Know,2006,http://www.metrolyrics.com/better-let-you-know-lyrics-oasis.html,0
Better Man,2006,http://www.metrolyrics.com/better-man-lyrics-oasis.html,0
Bonehead's Bank Holiday,2014,http://www.metrolyrics.com/boneheads-bank-holiday-lyrics-oasis.html,2
Born on a Different Cloud,2006,http://www.metrolyrics.com/born-on-a-different-cloud-lyrics-oasis.html,0
Bring It On Down,2006,http://www.metrolyrics.com/bring-it-on-down-lyrics-oasis.html,2
Can You See It Now? (I Can See It Now),2007,http://www.metrolyrics.com/can-you-see-it-now-i-can-see-it-now-lyrics-oasis.html,0
Carnation,2006,http://www.metrolyrics.com/carnation-lyrics-oasis.html,3
Carry Us All,2006,http://www.metrolyrics.com/carry-us-all-lyrics-oasis.html,0
Cast No Shadow,1995,http://www.metrolyrics.com/cast-no-shadow-lyrics-oasis.html,2
Champagne Supernova,1995,http://www.metrolyrics.com/champagne-supernova-lyrics-oasis.html,6
Chipper Sob,2006,http://www.metrolyrics.com/chipper-sob-lyrics-oasis.html,0
Cigarettes & Alcohol,2006,http://www.metrolyrics.com/cigarettes-alcohol-lyrics-oasis.html,4
Cigarettes in Hell,2006,http://www.metrolyrics.com/cigarettes-in-hell-lyrics-oasis.html,0
Cigarretes Alcohol,2006,http://www.metrolyrics.com/cigarretes-alcohol-lyrics-oasis.html,3
Cloudburst,2006,http://www.metrolyrics.com/cloudburst-lyrics-oasis.html,0
Colour My Life,2006,http://www.metrolyrics.com/colour-my-life-lyrics-oasis.html,3
Columbia,2006,http://www.metrolyrics.com/columbia-lyrics-oasis.html,3
Come Together,2006,http://www.metrolyrics.com/come-together-lyrics-oasis.html,0
Comin' On Strong,2016,http://www.metrolyrics.com/comin-on-strong-lyrics-oasis.html,0
