title,verse
2024,"Fall into that black whole honey
Looking up from your eyes
Everything that you ever wanted
You fight, but why
Folded up just like a piece of paper
Take your sweet little time
You can write it on the sidewalk yea
But your fine, so write
And now you're walking through the door
Just like 2024
Said I gotta believe
Someday you'll see
Someday you'll see that there's something more
Yeah there's something more
That's why you're so bored
Oh there's something more
I never said I'd answer your front door
Never better to be
But I can see you tie your own shoe laces
You bleed
Fall in love just like a new born baby
Blonde hair and blue eyes
Taking pictures with your Polaroid camera
Your fine, it's right
And now you're walking through the door
Just like 2024
Said I gotta believe
Someday you'll see
Someday you'll see that there's something more
Yeah there's something more
That's why your so bored
Oh there's something more
And now you're walking through the door
Just like 2024
Said I gotta believe
Someday you'll see
Someday you'll see that there's something more
Yeah there's something more
That's why you're so bored
Oh there's something more"
Aberdeen,"I've been trying real hard to realize
But some things take a long, long
Long, long time
Long time
Hold the phone, hit repeat
Got me foaming at the knees
Saw the flame, tasted sin
You burned me once again
Cut the cord, she's a creep
Aberdeen
Way back
Way back
Way back
Never saw my dark side in, in your eyes
Back and forth, bloody fingers
Painting up the sky
The sky
Hold the phone, hit repeat
Got me foaming at the knees
Saw the flame, tasted sin
You burned me once again
Cut the cord, she's a creep
Aberdeen
Way back
Way back
Way back
Hold the phone, hit repeat
Got me foaming at the knees
Saw the flame, tasted sin
You burned me once again
Cut the cord, she's a creep
Aberdeen, Aberdeen
Way back
Way back
Way back
Way back
Way back
Way back
Way back
Way back
Way back
Way back
Way back
Way back
Way back
Way back"
Aint No Rest For The Wicked,"I was walking down the street
When out the corner of my eye
I saw a pretty little thing approaching me
She said ""I've never seen a man
Who looks so all alone
Could you use a little company?
If you pay the right price
Your evening will be nice
And you can go and send me on my way
I said ""You're such a sweet young thing
Why you do this to yourself?""
She looked at me and this is what she said
""Oh, there ain't no rest for the wicked
Money don't grow on trees
I got bills to pay
I got mouths to feed
There ain't nothing in this world for free
I know I can't slow down
I can't hold back
Though you know, I wish I could
Oh no there ain't no rest for the wicked
Until we close our eyes for good
Not even fifteen minutes later
I'm still walking down the street
When I saw the shadow of a man creep out of sight
And then he swept up from behind
And put a gun up to my head
He made it clear he wasn't looking for a fight
He said ""Give me all you've got
I want your money not your life
But if you try to make a move I won't think twice
I told him ""You can have my cash
But first you know I got to ask
What made you want to live this kind of life?""
He said ""There ain't no rest for the wicked
Money don't grow on trees
I got bills to pay
I got mouths to feed
There ain't nothing in this world for free
I know I can't slow down
I can't hold back
Though you know, I wish I could
Oh no there ain't no rest for the wicked
Until we close our eyes for good""
Yeah
(You know it... He was a... You know it... He was a...)
Well now a couple hours passed
And I was sitting at my house
The day was winding down and coming to an end
An' so I turned on the TV
And flipped it over to the news
And what I saw I almost couldn't comprehend
I saw a preacher man in cuffs, he'd taken money from the church
He'd stuffed his bank account with righteous dollar bills
But even still I can't say much
Because I know we're all the same
Oh yes, we all seek out to satisfy those thrills
You know there ain't no rest for the wicked
Money don't grow on trees
We got bills to pay
We got mouths to feed
There ain't nothing in this world for free
I know we can't slow down
We can't hold back
Though you know, we wish we could
Oh no there ain't no rest for the wicked
Until we close our eyes for good"
Always Something,"Early in the morning
rise to meet the sun
work so hard to feed your wife
no time to show her lovin'
and in the madness of the evening
with diamonds in your hand
came home an hour early
caught her with another man
it's always something
before the late night
around the corner
there's always something waiting for you
can't hold their hands back
can't make the sun rise
it's always something
you know it's always something
on your way back home again
good samaritan
you see a man stuck in the rain
stranded with no friends
and from the goodness of your heart
you save him from the flood
a couple miles down the road
he's covered in your blood
it's always something
before the late night
around the corner
there's always something waiting for you
can't hold their hands back
can't make the sun rise
it's always something
you know it's always something
moving in an' round
you never see it coming
burned by the light
you thought that you were runnin'
blindin again and floating like a feather
why can't you see you can't control the weather
sometimes I cut myself looking in the mirror
with my eyeballs out
and I'm looking at the fear
in the bottom of the dreams
I saw them growing like a plant
but it never works out the way I wrote it in my hands
I tried, I tried, I tried, I tried, I tried, I tried, I tried, I tried, I tried, I tried, I tried, I tried, I tried, I tried, I tried, I tried
it's always something
before the late night
around the corner
there's always something waiting for you
can't hold their hands back
can't make the sun rise
its always something
you know its always something
(you know its always something)
you know its always something"
Around My Head,"Ooooooooh, Ooooooooh
I don't know why I got these feelings, yeah
I just can't seem to get away from
Can you dig it?
You may never see it
No, you will find it falling off my tongue
I take it down town, finally lose it
Ooh ooh ooh ooh
Ahh ahh ahh ahh
Ooh ooh ooh ooh
Ahh ahh ahh ahh
I don't think it's very nice
To walk around my head all night
You got me tangled like a braid, tied-twisted
I don't think it's fair...
Do you-ooooooh?
You-ooooooh?
Are you on the flip side?
You know I took the long way round
Cos all I really am is a homemade elevator
Blinded by your sunshine, put you on a plane to Paris
Lay my cards down on the table
Ooh ooh ooh ooh
Ahh ahh ahh ahh
Ooh ooh ooh ooh
Ahh ahh ahh ahh
I don't think it's very nice
To walk around my head all night
You got me tangled like a braid, tied-twisted
I don't think it's fair...
Can't find a reason for these feelings-
Got enough of them
This guy he told me
Said he's gonna send me something lovely
But even still at times I wonder
What you're thinking of me
You're prob'ly sure I lost my mind
Oh mind, Oh mind, Oh mind, Oh mind
I don't think it's very nice
To walk around my head all night
You got me tangled like a braid, tied-twisted
I don't think it's fair
I don't think it's very polite
To walk around my head all night
You got me tangled like a braid, tied-twisted
I don't think it's fair...
Ahhhhoooooohhh! Ooh ooh ooh ooh
Ahh ahh ahh ahh
Ooh ooh ooh ooh
Ahh ahh ahh ahh
Oh!"
Back Against The Wall,"Tonight I'll have a look
And try to find my face again
Buried beneath this house
My spirit screams and dies again
Out back a monster wears a cloak of Persian leather
Behind the TV screen
I've fallen to my knees
I said you got me where you want me again
And I can't turn away
I'm hanging by thread and I'm feelin' like a ball
I'm stuck here in-between
The shadows of my yesterday
I want to get away
I need to get away
Blanket of silence
Makes me want to sink my teeth in deep
Burn all the evidence
A fabricated disbelief
Pull back the curtains
Took a look into your eyes
My tongue has now become
A platform for your lies
I said you got me where you want me again
And I can't turn away
I'm hanging by thread and I'm feelin' like a ball
I'm stuck here in-between
The shadows of my yesterday
I want to get away
I need to get away
Now you know
Yeah you got my back against the wall
Oh god
I ain't got no other place to hide
Chained down
Like a sittin' duck just waitin' for the fall
You know
Yeah you got my back against the wall
Deep in the jungle
Camouflaged by all the fallen leaves
A hand holds up the sky
While shamefully I make my plea
The alters callin'
But my legs won't seem to stand
Guess I'm a coward
Scared to face the man I am
I said you got me where you want me again
And I can't turn away
I'm hanging by thread and I'm feelin' like a ball
I'm stuck here in-between
The shadows of my yesterday
I want to get away
I need to get away
Now you know
Yeah you got my back against the wall
Oh god
I ain't got no other place to hide
Chained down
Like a sittin' duck just waitin' for the fall
You know
Yeah you got my back against the wall
Now you know
Yeah you got my back against the wall
Oh god
I ain't got no other place to hide
Chained down
Like a sittin' duck just waitin' for the fall
You know
Yeah you got my back against the wall"
Back Stabbin' Betty,"Poor guy that man John Thomas
His woman truly was a devil
And she wasn't all that honest
She tore him down on every level
You're a no good lazy motherfucker
Got a, a shit job you worthless motherfucker
You're a, a dead beat feel sorry for your mother
If I had time I'd trade you for another
He don't like that
He wants his life back
He wants to go back home
He tried so hard to please her
He sold his soul to keep her happy
But nothin' he did impressed her
She always left him feelin' shitty
This is it? No, this can't be all you bought me
Said I'm, I'm high class and this is where you brought me
Gonna strike low just like my momma taught me
You're a, a low life you're lucky that you got me
He don't like that
He wants his life back
He wants to go back home
Down deep way down inside him
The will to leave was growing stronger
And he bit his tongue for so long
He couldn't hold back any longer
You're a two faced ruthless instigator
You're a, a low down triflin' masquerader
You're a, a cold bitch controllin' conversator
This is too much I'm out I'll see you later
She don't like that
But he got his life back
No she don't like that
But he's right back on track
I said he went back home"
Black Madonna,
Broken Boy,
Cigarette Daydreams,"Did you stand there all alone?
Oh I cannot explain what's going down
I can see you standing next to me
In and out somewhere else right now
You sigh look away
I can see it clear as day
Close your eyes so afraid
Hide behind that baby face
Do do do do do do
You can drive all night
Looking for answers in the pouring rain
You wanna find peace of mind
Looking for the answer
Funny how it seems like yesterday
As I recall you were looking out of place
Gathered up your things and slipped away
No time at all I followed you into the hall
Cigarette daydream
You were only seventeen
So sweet with a mean streak
Nearly brought me to my knees
Do do do do do do
You can drive all night
Looking for the answers in the pouring rain
You wanna find peace of mind
Looking for the answer
If we could find a reason, a reason to change
Looking for the answer
If you could find a reason, a reason to say
Standing in the pouring rain
Do do do do do do...
You can drive all night
Looking for answers in the pouring rain
You wanna find peace of mind
Looking for the answer
If we could find a reason, a reason to change
Looking for the answer
If you could find a reason, a reason to say
Standing in the pouring rain"
