title,year,url,popularity,verse
(Get Off Your) High Horse Lady,2008,http://www.metrolyrics.com/get-off-your-high-horse-lady-lyrics-oasis.html,0,"Get off your high horse Lady, I don't need a ride tonight
Get off your high horse lady, I don't need a ride tonight
Lay down
I hear your soul song singing from a fire in the sky
I hear your soul song singing from a fire in the sky
Rain down
Rain down
Get off your high horse lady, I don't need a ride tonight
Get off your high horse lady, I don't need a ride tonight
Lay down
Lay down"
(I Got) The Fever,2007,http://www.metrolyrics.com/i-got-the-fever-lyrics-oasis.html,1,"I'm tired of my life but my heads alright
I got the fever off a man I know
I can feel it comin' in the air tonight
And I know, I know, I know
Swear I heard a song on the radio
My heart is laughing back at me
I can see it comin' but I just don't know
If it's gon', it's gon, it's gonna let me be
As I saw, on the breeze
I can see the sons of those who came before me
And it's got me on my knees
What you say, anyway
Will not last, it'll pass, it'll flash right there before me
And it's got me on my knees
Cos I got the fever
Yeah I got the fever
Cos I got the fever
I'm tired of my life but my heads alright
I got the fever off a man I know
I can feel it comin' in the air tonight
And I know, I know, I know
Swear I heard a song on the radio
My heart is laughing back at me
I can see it comin' but I just don't know
If it's gon', it's gon, it's gonna let me be
As I saw, on the breeze
I can see the sons of those who came before me
And it's got me on my knees
What you say, anyway
Will not last, it'll pass, it'll flash right there before me
And it's got me on my knees
It's got me on my knees
It's got me on my knees
It's got me on my knees
As I saw, on the breeze
I can see the sons of those who came before me
And it's got me on my knees
What you say, anyway
Will not last, it'll pass, it'll flash right there before me
And it's got me on my knees
It's got me on my knees
It's got me on my knees
It's got me on my knees
It's got me on my knees"
(Probably) All in the Mind,2008,http://www.metrolyrics.com/probably-all-in-the-mind-lyrics-oasis.html,0,"Show me who you are
I'll show you what you love
I'll give you half the world if that's enough
Let me take you down
Let me hear you smile
Let me rest my head here for a while
In the end we'll leave it all behind
Because the life I think I'm trying to find
Is probably all in the mind
Show me who you are
I'll show you what you love
I'll give you all the world if that's enough
In the end we'll leave it all behind
Because the life I think I'm trying to find
Is probably all in the mind
In the end we'll leave it all behind
In the end we'll leave it all behind
In the end we'll leave it all behind
Because the life I think I'm trying to find
Is probably all in the mind
It's all in the mind"
(You've Got) A Heart Of A Star,2007,http://www.metrolyrics.com/youve-got-a-heart-of-a-star-lyrics-oasis.html,4,"You're never gonna get along, hanging out, thinkin' out loud
You're never gonna get it on and be someone stuck in that crowd
So, you call out for feelings you hope that don't never exist
But don't be ashamed of your bones and your blisters
So come on, come on my brothers and sisters
'Coz you can only be what you are and you've got
The heart of a star but the light never hits ya
And I said come on, come on my brothers and sisters
If you could see what I could see, maybe we could all get along
And maybe I can justify the bad things in life that I've done
So, I call out the feelin' I know that don't never exist
I won't be ashamed of my bones and my blisters
So come on, come on my brothers and sisters
'Coz you can only be what you are 'coz you've got
The heart of a star but the light never hits ya
And I said come on, come on my brothers and sisters
And the slower that you go, the greener the grass grows
And what we all need is love in our lives
So go about you business 'cos life ain't your mistress
Come on, come on my brothers and sisters
'Coz you can only be what you are 'coz you've got
The heart of a star but the light never hits ya
So be all you can and just hold up your hands
Someday you'll understand why life never kissed you
And I said come on, come on my brothers and sisters
Come on, come on my brothers and sisters
I said come on, come on my brothers and sisters
I said come on, come on my brothers and sisters
I said come on, come on my brothers and sisters"
A Bell Will Ring,2005,http://www.metrolyrics.com/a-bell-will-ring-lyrics-oasis.html,1,"A little space, a little time
See what it can do
A little faith, a peace of mind
See what passes through
The sun will shine on you again
A bell will ring inside your head
And all will be brand new
Come alive, come on in
Here's something that you know
The world's as wide as your life is thin
So entertain your goals
The sun will shine on you again
A bell will ring inside your head
And all will be brand new
And all will be brand new
I can tell you what you wanna hear
I've been there once before
You pulled me through my empty nights
Sleepless on your floor
The sun will shine on you again
A bell will ring inside your head
And all will be brand new
And all will be brand new
And all will be brand new"
A Quick Peep,2007,http://www.metrolyrics.com/a-quick-peep-lyrics-oasis.html,0,Instrumental
Acquiesce,2006,http://www.metrolyrics.com/acquiesce-lyrics-oasis.html,4,"I don't know what it is
That makes me feel alive
I don't know how to wake
The things that sleep inside
I only wanna see the light
That shines behind your eyes
I hope that I can say
The things I wish I'd said
To sing my soul to sleep
And take me back to bed
You want to be alone
When we could feel alive instead
Because we need each other
We believe in one another
And I know we're going to uncover
What's sleepin' in our soul
Because we need each other
We believe in one another
And I know we're going to uncover
What's sleepin' in our soul
What's sleepin' in our soul
There are many things
That I would like to know
And there are many places
That I wish to go
But everything's dependin'
On the way the wind may blow
I don't know what it is
That makes me feel alive
I don't know how to wake
The things that sleep inside
I only wanna see the light
That shines behind your eyes
Because we need each other
We believe in one another
And I know we're going to uncover
What's sleepin' in our soul
'Cause we need each other
We believe in one another
And I know we're going to uncover
What's sleepin' in our soul
What's sleepin' in our soul
What's sleepin' in our soul
What's sleepin' in our soul
'Cause we believe
'Cause we believe
Yeah, we believe
'Cause we believe
'Cause we believe
'Cause we believe
Because we need
Because we need"
Ain't Got Nothin,2008,http://www.metrolyrics.com/aint-got-nothin-lyrics-oasis.html,0,"They got nothin' on me anymore
They got nothin' on you
I don't care what they say anymore
All I want is the truth
Out on bail
To unveil
Here's a song
Sing along
They got nothin' for me anymore
I got nothin' for you
I don't care what they say anymore
All I want is the truth
Out on bail
To unveil
Here's a song
Sing along
Watch my style
Pick up pace
Wipe that smile
From your face
Out on bail
To unveil
Here's a song
Sing along
Watch my style
Pick up pace
Wipe that smile
From your face
They got nothin' on me anymore
They got nothin' on you
I don't care what they say anymore
All I want is the truth"
Alice,2017,http://www.metrolyrics.com/alice-lyrics-oasis.html,0,"She always comes up smiling
And playing with her hair
She sometimes says I'm lying
She thinks that I don't care
I know that if I see you
I have to look and smile
I know that if I hear you
I think I'll run a mile
She sometimes makes me blushing
By saying silly things
She don't know where she's going
With all the cheapskate things
You never really spoke to me
You only stand still
From now I think you've learned to see
I never really cared"
Alive,2006,http://www.metrolyrics.com/alive-lyrics-oasis.html,0,"The people will notice that the times are changing
It's just for now but not for good
It's my feelings that I think you're draining
Take them now if you think you should
You want something for nothing
The higher that you climb the longer you fall
Maybe your time is coming
Will you ask to climb when you find the wall
Is it time to doubt?
Is it time to wait?
Will you be left alone at the starting gate
I'm not blind
And I don't mind
Coz I've got time
now I'm alive
The people have noticed that the times are changing
But are they gonna be something now
I think I've seen you all hesitating
I think I'll go and be something now
You want something for nothing
The higher that you climb
The longer you fall
Maybe your time is coming
Will you ask to climb when you find the wall
Is it time to doubt?
Is it time to wait?
Will you be left alone
At the starting gate
I'm not blind
And I don't mind
Coz I've got time
Now I'm alive
Yeah I'm alive
Now I'm alive
Yeah I'm alive"
