current_rank,current_rating,games,losses,name,peak_rating,player_id,ties,total_prize_money,wins,points_for_against
1,2190,"1,765",426, David Gibson,2190,1384,5,"$174,982","1,325",433-370
2,2148,"1,070",386, Will Anderson,2148,19535,4,"$17,885",680,427-394
3,2130,"1,811",474, Nigel Richards,2307,6003,7,"$219,401","1,330",447-392
4,2092,744,241, Mack Meller,2092,20383,7,"$7,375",496,434-388
5,2081,"3,119","1,040", Ian Weinstein,2081,1847,17,"$34,858","2,062",425-382
6,2076,"4,272","1,357", Dave Wiegand,2236,728,14,"$124,964","2,881",444-395
7,2073,"1,177",444, Matthew Tunnicliffe,2073,17175,1,"$17,312",732,423-396
8,2048,"1,494",559, Rafi Stern,2082,2105,3,"$11,540",932,426-392
9,2043,"1,070",311, Eric Tran,2043,19216,2,"$5,649",757,430-376
10,2024,"1,225",448, Kenji Matsumoto,2069,583,3,"$19,805",774,426-395
11,2021,"4,375","1,622", Joey Mallick,2048,33,14,"$45,679","2,739",420-389
12,2020,"1,040",365, Jackson Smylie,2020,20032,7,"$3,432",668,424-385
13,2015,"2,663",984, Lloyd Mills,2067,56,14,"$16,342","1,665",422-384
13,2015,"1,836",798, Karl Higby,2015,2001,11,"$4,629","1,021",407-390
15,2012,967,351, Noah Walton,2063,18474,1,"$7,790",615,428-385
16,2009,"1,644",664, Scott Appel,2030,55,7,"$13,305",973,413-395
17,2005,801,334, Charles Reinke,2005,13512,3,"$2,970",464,416-395
18,2004,529,183, Adam Ginzberg,2015,17680,1,"$4,600",345,412-379
18,2004,235,97, Alec Sjoholm,2004,20978,1,"$1,310",137,413-400
20,1996,"1,567",553, Orry Swift,2079,451,3,"$16,391","1,011",416-386
21,1989,"1,151",399, Carl Johnson,2032,1060,2,"$15,355",750,433-391
22,1983,"5,918","2,096", Joel Sherman,2098,53,16,"$125,900","3,731",418-383
23,1978,922,363, Jason Li,2009,20252,1,"$3,058",558,418-392
24,1975,"1,081",431, Joshua Sokol,1975,11232,7,"$2,782",643,416-392
25,1974,"1,750",679, Cesar Del Solar,2033,13509,1,"$6,880","1,070",419-392
26,1971,652,197, James Leong,2042,2791,3,"$20,835",452,422-379
27,1958,772,319, Thomas Reinke,1980,13511,4,"$6,100",449,410-390
28,1952,"2,232","1,035", Edward De Guzman,1952,26,13,"$5,670","1,184",400-391
29,1950,"6,228","2,326", Chris Cree,2060,435,32,"$38,451","3,806",419-390
30,1936,"6,612","2,715", Winter,1957,237,27,"$17,561","3,870",416-391
31,1935,629,230, Avery Mojica,1935,19852,3,$560,396,417-379
32,1931,"1,732",778, Mike Frentz,2014,1408,9,"$4,649",945,413-400
32,1931,"1,354",480, Doug Brockmeier,2013,342,5,"$16,506",869,423-386
32,1931,503,159, Arie Sinke,1980,11774,3,"$1,441",341,431-381
35,1928,"1,763",733, Ben Schoenbrun,2002,17950,12,"$2,550","1,018",414-395
36,1927,"3,031","1,296", Marty Gabriel,1993,663,11,"$5,035","1,698",421-403
37,1926,"1,664",645, Chris Williams,1927,2794,11,"$6,179","1,008",416-391
38,1925,"3,568","1,235", Joe Edley,2146,578,17,"$107,189","2,275",415-387
39,1917,550,223, Norases Vesdapunt,1917,20970,0,"$1,250",327,407-389
40,1914,"1,948",738, Jesse Day,2096,10129,8,"$18,525","1,202",428-394
41,1913,"1,670",658, Dean Saldanha,1985,1784,6,"$9,268","1,006",410-388
42,1908,"1,635",636, Nigel Peltier,1996,6969,6,"$9,180",993,420-395
43,1898,"2,671","1,060", Randy Hersom,1994,2627,9,"$16,897","1,586",410-396
44,1897,600,268, Chris Grubb,1955,19918,1,"$2,082",331,416-397
45,1888,"2,247",850, Matt Graham,2030,31,7,"$34,785","1,374",413-392
46,1882,"2,963","1,025", Ron Tiekert,2168,37,11,"$54,152","1,867",416-385
46,1882,"3,448","1,398", Marlon Hill,1990,560,12,"$23,685","2,038",412-387
46,1882,"1,473",634, Jeremy Hall,1925,13648,10,"$2,624",829,394-384
49,1880,"4,892","1,758", Paul Epstein,2076,797,29,"$21,414","3,087",411-374
50,1879,638,277, Siddharth Murali,1942,21134,5,"$1,695",356,403-391
50,1879,"2,322","1,059", Cecilia Le,1894,2470,8,"$4,241","1,255",408-398
52,1878,"2,427",980, Tony Leah,1950,976,11,"$9,730","1,436",424-397
53,1877,813,325, Rahn McKeown,1893,81,3,"$5,299",485,412-386
54,1873,"1,177",580, Jim Burlant,1909,18556,8,"$2,400",589,392-394
54,1873,487,209, Michael Fagen,1873,20531,2,$830,276,410-389
54,1873,"1,484",573, Christopher Sykes,1888,798,7,"$8,464",904,420-386
57,1871,"3,512","1,368", Darrell Day,2029,434,16,"$17,796","2,057",411-393
57,1871,"1,434",613, Maxim Panitch,2099,610,6,"$3,279",815,410-391
59,1869,"2,490",920, Joey Krafchick,2056,17589,9,"$23,892","1,561",417-384
60,1865,"1,946",866, Maddy Kamen,1894,346,8,"$2,162","1,052",402-389
61,1863,"1,516",636, Seth Lipkin,2006,10122,9,"$6,700",871,410-391
62,1857,544,236, Morris Greenberg,1882,18741,2,"$2,885",306,406-388
63,1856,629,234, Clay Daniel,1872,2987,3,"$3,220",392,412-382
64,1855,"4,061","1,670", Lisa Odom,2006,731,18,"$11,696","2,324",408-392
65,1852,"1,390",610, Wes Eddings,1852,11918,7,"$7,113",773,392-387
66,1851,965,326, Bob Frey,1985,6350,4,"$1,935",508,389-366
66,1851,"1,702",778, Leesa Berahovich,1964,10156,7,"$2,309",917,402-387
68,1848,"1,625",632, Matt Canik,2018,498,7,"$5,925",986,410-380
69,1846,714,332, Jermaine Harris,1846,17954,3,$980,379,384-380
70,1845,"2,097",868, Jim Nanavati,1896,57,6,"$4,744","1,223",408-383
71,1842,337,157, Kenneth Rubin,1857,3125,2,"$2,405",178,397-396
72,1841,"1,474",542, Jeremiah Mead,2083,2030,7,"$19,343",871,401-385
73,1839,690,272, Kevin Bowerman,1858,20308,5,"$2,560",413,412-386
74,1834,624,254, Steve Bush,1895,18145,3,"$1,520",367,411-386
75,1830,753,317, Barry Keith,1935,1949,7,"$2,048",429,411-381
76,1827,670,303, Rick Julian,1873,48,5,"$1,800",362,397-379
77,1825,"1,826",886, Chris Patrick Morgan,1884,20,12,"$4,453",928,395-397
78,1822,575,239, Chris Guilbert,1904,2630,3,"$2,015",333,401-389
79,1821,456,161, Doug Lundquist,1860,18705,1,"$1,150",294,412-368
80,1818,"1,401",614, Dielle Saldanha,1854,1787,9,"$8,444",778,408-394
81,1814,670,296, John Stardom,1845,984,2,"$4,559",372,401-385
82,1811,"4,584","1,781", Jerry Lerman,2038,2,21,"$32,953","2,782",415-391
82,1811,320,117, David Turissini,1811,17360,0,"$4,075",203,415-376
84,1810,"1,787",701, Jason Idalski,1945,810,6,"$4,990","1,080",415-390
85,1808,"1,637",697, David Pearl,1910,2617,5,"$13,449",935,400-381
86,1805,"2,091",886, Zev Kaufman,1977,1678,9,"$4,196","1,169",400-386
87,1802,"1,302",554, Kevin Fraley,1892,1,1,"$11,123",747,414-396
88,1801,"2,864","1,327", Jeff Fiszbein,1870,802,9,"$3,983","1,528",401-394
89,1799,"1,250",572, Jesse Matthews,1966,957,3,"$2,908",675,410-396
90,1795,"1,069",484, Jon Shreve,1900,5318,5,$710,538,403-395
91,1793,"2,856","1,235", Richard Buck,1955,1998,10,"$4,640","1,574",412-401
92,1792,"2,023",756, Steven Alexander,2071,2091,11,"$9,310","1,256",400-372
94,1789,"2,165","1,040", Daniel Goodwin,1830,298,7,"$3,681","1,108",403-395
94,1789,"2,217","1,019", Ben Withers,1909,428,11,"$6,420","1,187",397-391
94,1789,"1,612",740, Paul Holser,1876,436,10,"$3,406",862,403-394
97,1786,"3,280","1,504", Howard Pistol,1853,1108,12,"$5,013","1,711",394-391
98,1785,"3,013","1,240", Jason Keller,2052,18544,14,"$8,143","1,759",420-393
