Byes,Credits,Losses,Name,New Rating,Old Rating,Other Money,Perf Rating,Place,Player ID,Prize Money,Seed,Spread,Ties,Tournament ID,Wins,division
,,7,Nigel Richards,2196,2168,,2356,1,6003,"$10,000",1,+1934,,8163,24,Division 1
,,7,Komol Panyasophonlert,2070,2002,,2372,2,20749,"$3,000",11,+1868,,8163,24,Division 1
,,8,Will Anderson,2093,2054,,2264,3,19535,"$2,000",2,+1623,,8163,23,Division 1
,,9,Noah Walton,2063,2015,,2239,4,18474,"$1,000",8,+1628,,8163,22,Division 1
,,10,Kenji Matsumoto,2057,2023,,2212,5,583,$800,5,+1671,,8163,21,Division 1
,,10,Scott Appel,2001,1920,,2177,6,55,$700,27,+746,,8163,21,Division 1
,,10,Mack Meller,2035,2014,,2114,7,20383,$600,9,+397,1,8163,20,Division 1
,,11,Rafi Stern,2033,2030,,2033,8,2105,$500,3,+960,,8163,20,Division 1
,,11,Jesse Day,2022,2021,,2028,9,10129,$350,7,+652,1,8163,19,Division 1
,,12,Dave Wiegand,2016,2000,,2087,10,728,$250,12,+1153,,8163,19,Division 1
,,12,Trip Payne,1883,1818,$200E,2008,11,1389,,53,+1085,,8163,19,Division 1
,,12,Conrad Bassett-Bouchard,2019,2022,,2012,12,10,,6,+838,,8163,19,Division 1
,,12,Mark Pistolese,1848,1790,$175E,1948,13,1385,,59,+744,,8163,19,Division 1
,,12,Rob Robinsky,1918,1883,,2007,14,1534,,32,+721,,8163,19,Division 1
,,12,Charles Reinke,1857,1760,,2030,15,13512,,67,+694,,8163,19,Division 1
,,12,Ian Weinstein,2024,2030,,1997,16,1847,,3,+638,,8163,19,Division 1
,,12,Peter Armstrong,1969,1948,,2002,17,34,,20,+374,,8163,19,Division 1
,,13,Carl Johnson,1972,1967,,1977,18,1060,,17,+950,,8163,18,Division 1
,,13,Mike Frentz,1984,1990,,1995,19,1408,,14,+885,,8163,18,Division 1
,,13,Joel Sherman,1978,1974,,1991,20,53,,15,+824,,8163,18,Division 1
,,13,Nigel Peltier,1852,1809,$100E,1929,21,6969,,55,+680,,8163,18,Division 1
,,13,Thomas Reinke,1830,1758,,1964,22,13511,,69,+679,,8163,18,Division 1
,,13,Matt Canik,1861,1839,,1897,23,498,,46,+559,,8163,18,Division 1
,,13,Maddy Kamen,1890,1839,,1993,24,346,,46,+487,,8163,18,Division 1
,,13,Lou Cornelis,1853,1797,,1961,25,302,,57,+468,,8163,18,Division 1
,,13,Chris Cree,1940,1938,,1935,26,435,,23,+464,,8163,18,Division 1
,,13,Joe Gaspard,1817,1747,,1934,27,1529,,72,+435,,8163,18,Division 1
,,13,Erickson Smith,1836,1763,,1951,28,2433,,66,+307,,8163,18,Division 1
,,13,Timothy Bottorff,1809,1720,,1898,29,16519,,75,-228,,8163,18,Division 1
,,14,Cesar Del Solar,1956,1998,,1872,30,13509,,13,+1089,,8163,17,Division 1
,,14,Matthew Tunnicliffe,1918,1913,,1933,31,17175,,28,+721,,8163,17,Division 1
,,14,Jason Li,1825,1826,,1808,32,20252,,49,+673,,8163,17,Division 1
,,14,Scott Garner,1832,1813,,1866,33,18079,,54,+559,,8163,17,Division 1
,,14,Chris Williams,1865,1862,,1862,34,2794,,34,+554,,8163,17,Division 1
,,14,Jerry Lerman,1865,1846,,1909,35,2,,42,+420,,8163,17,Division 1
,,14,Ryan Fischer,1804,1769,,1836,36,18032,,64,+375,,8163,17,Division 1
,,14,John Luebkemann,1913,1931,,1898,37,1489,,26,+347,,8163,17,Division 1
,,14,Mark Milan,1810,1795,,1819,38,338,,58,+225,,8163,17,Division 1
1,,13,Edward De Guzman,1909,1912,,1906,39,26,,29,+199,,8163,17,Division 1
,,14,Orry Swift,1913,1911,,1939,40,451,,30,+81,,8163,17,Division 1
,,14,Cecilia Le,1846,1840,,1847,41,2470,,45,+11,,8163,17,Division 1
,,14,Joey Mallick,1935,1971,,1864,42,33,,16,-47,,8163,17,Division 1
,,14,David Whitley,1819,1777,,1885,43,18578,,61,-178,,8163,17,Division 1
,,14,Ben Schoenbrun,1930,1937,,1934,44,17950,,24,-606,,8163,17,Division 1
,,14,Adam Ginzberg,1831,1823,,1847,45,17680,,51,+380,1,8163,16,Division 1
,,14,Howard Pistol,1744,1680,$125E,1835,46,1108,,90,-291,1,8163,16,Division 1
,,15,Kolton Koehler,1772,1752,,1785,47,19588,,71,+873,,8163,16,Division 1
,,15,Robin Pollock Daniel,1944,2012,,1772,48,1586,,10,+657,,8163,16,Division 1
,,15,Stefan Rau,1901,1948,,1806,49,559,,20,+434,,8163,16,Division 1
