GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD02,HD01_VD03,HD01_VD04,HD01_VD05,HD01_VD06,HD01_VD07,HD01_VD08,HD01_VD09,HD01_VD10,HD01_VD11,HD01_VD12,HD01_VD13,HD01_VD14,HD01_VD15,HD01_VD16,HD01_VD17,HD01_VD18,HD01_VD19,HD01_VD20,HD01_VD21,HD01_VD22,HD01_VD23,HD01_VD24,HD01_VD25,HD01_VD26,HD01_VD27,HD01_VD28,HD01_VD29,HD01_VD30,HD01_VD31,HD01_VD32,HD01_VD33,HD01_VD34,HD01_VD35,HD01_VD36,HD01_VD37,HD01_VD38,HD01_VD39,HD01_VD40,HD01_VD41,HD01_VD42,HD01_VD43,HD01_VD44,HD01_VD45,HD01_VD46,HD01_VD47,HD01_VD48,HD01_VD49,HD01_VD50,HD01_VD51,HD01_VD52,HD01_VD53,HD01_VD54,HD01_VD55,HD01_VD56,HD01_VD57,HD01_VD58,HD01_VD59,HD01_VD60,HD01_VD61,HD01_VD62,HD01_VD63,HD01_VD64,HD01_VD65,HD01_VD66,HD01_VD67,HD01_VD68,HD01_VD69,HD01_VD70,HD01_VD71,HD01_VD72,HD01_VD73,HD01_VD74,HD01_VD75,HD01_VD76,HD01_VD77,HD01_VD78,HD01_VD79,HD01_VD80,HD01_VD81,HD01_VD82,HD01_VD83,HD01_VD84,HD01_VD85,HD01_VD86,HD01_VD87,HD01_VD88,HD01_VD89,HD01_VD90,HD01_VD91,HD01_VD92,HD01_VD93,HD01_VD94,HD01_VD95,HD01_VD96,HD01_VD97,HD01_VD98,HD01_VD99,HD01_VD100,HD01_VD101,HD01_VD102,HD01_VD103,HD01_VD104,HD01_VD105,HD01_VD106,HD01_VD107,HD01_VD108,HD01_VD109
0500000US01001,01001,"Autauga County, Alabama",55049,0,0,0,8930,26,0,0,0,26,0,0,0,0,0,0,0,108,60,0,52,0,408,0,0,0,0,0,0,0,21,38,95,287,0,4722,0,899,60,935,78,4140,0,82,0,134,0,0,5503,0,796,0,0,0,30,0,0,8,194,41,256,26,20,66,6,1069,1320,0,0,0,0,0,619,0,0,0,0,0,0,0,0,0,0,0,0,0,619,0,433,0,0,0,237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20534,12030
0500000US01003,01003,"Baldwin County, Alabama",199510,0,0,0,49852,439,0,0,0,266,3,12,0,120,38,22,0,30,230,0,80,137,850,67,270,272,0,19,406,0,880,90,296,2022,180,21683,6,1993,303,5970,924,21454,0,151,0,449,10,12,21080,0,5307,38,196,113,0,0,0,201,1342,30,2297,173,152,405,186,3491,5119,0,63,295,25,0,220,0,7,0,38,0,0,0,0,2,18,0,0,0,155,0,1323,387,14,149,1005,696,61,0,0,0,0,11,26,500,75,0,23,0,69,50784,33551
0500000US01005,01005,"Barbour County, Alabama",26614,0,0,0,4649,5,0,0,0,0,5,0,0,0,0,0,0,0,15,0,0,14,38,0,0,0,0,7,0,0,0,0,6,85,0,1302,0,125,0,129,3,917,0,13,0,0,0,0,1247,0,178,0,5,0,0,0,0,0,0,16,73,11,0,7,4,343,232,0,0,6,0,0,80,0,0,0,0,0,10,0,0,0,0,0,0,0,70,0,59,0,0,9,12,5,0,0,0,0,0,0,0,5,0,0,0,0,0,14763,3995
0500000US01007,01007,"Bibb County, Alabama",22572,0,0,0,2841,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,15,0,17,0,0,0,10,0,0,39,0,95,0,1559,0,189,0,130,7,1365,0,0,0,0,0,0,1904,0,229,0,0,0,0,0,0,7,32,23,6,0,0,13,32,51,248,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,40,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6455,9101
0500000US01009,01009,"Blount County, Alabama",57704,0,0,0,8169,133,0,0,0,2,0,0,0,82,49,0,0,0,20,0,3,15,163,0,74,17,0,2,7,0,4,0,45,425,0,6001,0,2496,0,976,18,4326,0,21,0,193,0,0,13173,0,685,0,0,0,0,0,0,36,131,2,305,10,0,5,41,514,1259,0,13,35,0,0,254,0,0,0,0,0,8,0,0,0,0,7,0,0,239,0,300,69,3,0,219,14,0,0,0,0,0,14,0,0,0,0,0,0,0,13726,10805
0500000US01011,01011,"Bullock County, Alabama",10552,0,0,0,420,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,28,13,288,0,13,0,54,0,217,0,0,0,2,0,0,236,0,13,0,0,0,0,0,0,0,8,0,145,0,0,0,0,33,162,0,0,0,0,0,169,0,0,0,0,0,0,3,0,0,0,0,0,0,166,53,0,0,0,0,6,30,0,0,0,0,0,0,30,0,0,0,0,0,0,7733,1329
0500000US01013,01013,"Butler County, Alabama",20280,0,0,0,2653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,111,0,22,15,0,0,3,0,5,0,0,67,0,1068,0,79,0,175,0,459,0,0,0,0,0,0,1051,0,85,0,0,0,0,0,0,0,26,0,73,0,0,16,4,227,252,6,0,0,0,0,325,0,0,0,0,0,0,0,0,0,0,0,0,0,325,0,25,0,5,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11177,3680
0500000US01015,01015,"Calhoun County, Alabama",115883,0,0,0,16417,152,0,65,0,6,11,0,45,0,25,20,0,19,149,13,0,0,451,0,24,26,0,0,44,0,173,68,139,1285,0,8159,0,869,96,1650,264,9588,0,125,0,21,0,0,11830,0,1892,29,58,0,0,0,0,102,273,0,468,35,28,164,79,1469,2065,9,0,28,0,0,1336,0,122,71,10,0,53,0,0,0,0,0,0,0,1080,0,268,153,0,42,756,520,55,0,0,0,0,12,351,53,49,0,0,0,16,33955,39203
0500000US01017,01017,"Chambers County, Alabama",34018,0,0,0,3539,14,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,83,0,27,0,0,1,0,0,6,2,0,252,0,2036,0,247,0,266,54,1406,0,22,0,0,0,0,2326,0,212,0,0,0,0,0,0,0,31,0,53,0,0,0,0,298,448,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,50,0,0,0,34,10,0,0,0,0,0,0,0,10,0,0,0,0,0,15016,9965
0500000US01019,01019,"Cherokee County, Alabama",25897,0,0,0,4346,15,0,0,0,0,0,0,0,0,15,0,0,56,4,0,67,0,102,0,0,65,0,0,0,0,34,25,67,305,0,2580,0,163,0,344,6,1414,0,7,0,24,0,0,2836,0,326,0,7,0,0,0,0,56,79,0,46,28,0,8,0,398,337,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,40,0,0,0,150,3,0,0,0,0,0,3,0,0,0,0,0,0,0,7508,8167
0500000US01021,01021,"Chilton County, Alabama",43817,0,0,0,8679,11,0,0,0,0,0,11,0,0,0,17,0,0,0,0,0,0,116,0,20,73,0,0,9,0,54,0,34,271,9,2834,0,262,129,678,33,3066,0,39,0,7,0,0,4228,0,593,0,0,0,0,0,0,0,194,14,94,9,0,52,8,420,643,17,0,0,0,0,74,4,0,0,0,0,0,0,0,0,0,0,0,0,70,0,83,3,5,4,214,65,0,0,0,0,0,65,0,0,0,0,0,0,0,13035,13194
0500000US01023,01023,"Choctaw County, Alabama",13287,0,0,0,4671,36,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,11,0,46,4,503,0,84,0,19,23,546,0,0,0,0,0,0,877,0,144,2,5,0,0,0,0,10,63,0,13,0,0,4,0,225,377,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,7,4,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4583,2158
0500000US01025,01025,"Clarke County, Alabama",24847,0,0,0,2531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,3,0,0,0,0,0,0,0,112,14,1582,0,300,0,93,49,579,0,0,0,0,10,0,747,0,44,0,6,0,0,0,0,7,6,0,40,0,0,17,8,318,194,0,0,2,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,4,0,0,0,74,75,0,0,0,0,0,0,75,0,0,0,0,0,0,14398,4920
0500000US01027,01027,"Clay County, Alabama",13483,0,0,0,5323,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,16,0,13,0,0,0,9,0,0,0,0,43,0,1071,0,78,0,122,0,749,0,23,0,19,0,0,1270,0,54,0,0,0,0,0,0,0,5,6,0,0,0,0,0,158,190,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,6,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2554,3051
0500000US01029,01029,"Cleburne County, Alabama",14991,0,0,0,2775,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,45,0,0,0,0,0,0,0,0,12,5,267,0,1023,0,58,0,84,0,925,0,4,0,58,0,0,1907,0,117,0,0,0,0,0,0,0,36,0,16,14,0,0,31,147,261,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,38,0,0,2,40,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2678,6594
0500000US01031,01031,"Coffee County, Alabama",50991,0,0,0,6050,24,0,0,0,0,17,0,0,0,7,0,0,30,70,0,2,0,236,0,13,106,0,2,3,0,78,13,16,379,4,3954,0,323,2,587,222,3744,0,88,0,101,8,0,3745,0,1079,0,7,0,0,0,0,0,329,0,388,134,39,60,62,500,642,12,0,2,0,0,3554,0,0,0,0,0,0,0,0,0,0,0,0,0,3554,0,115,29,0,6,342,17,7,0,3,3,0,0,0,4,0,0,0,0,0,13090,16856
0500000US01033,01033,"Colbert County, Alabama",54377,0,0,0,12287,122,6,0,0,0,38,54,4,20,0,0,0,0,17,0,7,0,93,0,0,79,0,5,4,0,62,4,34,236,0,3090,0,534,7,351,65,2937,0,32,0,9,0,0,5571,0,698,0,19,0,0,0,0,55,236,7,351,9,4,27,0,751,877,0,0,12,0,0,146,0,0,0,0,0,7,0,0,0,0,0,0,0,139,0,63,35,0,0,130,27,0,0,0,0,0,0,0,4,0,0,23,4,0,17455,14206
0500000US01035,01035,"Conecuh County, Alabama",12697,0,0,0,904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,0,0,0,0,0,0,0,0,0,0,81,0,833,0,79,0,48,57,229,0,0,0,0,0,0,560,0,70,0,0,0,0,0,0,0,29,0,5,0,0,8,0,138,76,11,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,9,13,0,0,0,0,0,13,0,0,0,0,0,0,0,8725,1623
0500000US01037,01037,"Coosa County, Alabama",10864,0,0,0,5908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,244,0,54,0,30,2,336,0,0,0,5,0,0,257,0,3,0,0,0,0,0,0,0,11,0,11,0,0,0,0,20,52,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,20,8,0,0,0,47,0,0,0,0,0,0,47,0,0,0,0,0,0,2767,1443
0500000US01039,01039,"Covington County, Alabama",37729,0,0,0,9883,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,138,0,10,25,0,0,39,0,0,9,0,328,0,2782,0,322,13,549,38,1429,0,79,0,86,0,0,3548,0,496,0,0,0,10,0,0,0,96,0,117,13,0,37,2,550,478,0,5,9,0,0,235,0,0,0,0,0,0,0,0,0,0,0,0,0,235,0,116,27,0,30,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10105,10390
0500000US01041,01041,"Crenshaw County, Alabama",13896,0,0,0,2115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,3,41,0,0,40,0,45,0,0,0,0,0,79,0,907,0,44,0,68,31,349,0,0,0,0,0,0,1018,0,147,0,15,0,0,0,0,0,28,0,28,0,0,12,3,174,152,0,0,0,0,0,355,0,0,0,0,0,0,0,0,0,0,0,0,0,355,0,12,0,0,0,107,11,0,0,0,0,0,0,0,11,0,0,0,0,0,5520,3773
