GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HD01_VD01,Estimate; Total:
HD01_VD02,Estimate; Total: - Afghan
HD01_VD03,Estimate; Total: - Albanian
HD01_VD04,Estimate; Total: - Alsatian
HD01_VD05,Estimate; Total: - American
HD01_VD06,Estimate; Total: - Arab:
HD01_VD07,Estimate; Total: - Arab: - Egyptian
HD01_VD08,Estimate; Total: - Arab: - Iraqi
HD01_VD09,Estimate; Total: - Arab: - Jordanian
HD01_VD10,Estimate; Total: - Arab: - Lebanese
HD01_VD11,Estimate; Total: - Arab: - Moroccan
HD01_VD12,Estimate; Total: - Arab: - Palestinian
HD01_VD13,Estimate; Total: - Arab: - Syrian
HD01_VD14,Estimate; Total: - Arab: - Arab
HD01_VD15,Estimate; Total: - Arab: - Other Arab
HD01_VD16,Estimate; Total: - Armenian
HD01_VD17,Estimate; Total: - Assyrian/Chaldean/Syriac
HD01_VD18,Estimate; Total: - Australian
HD01_VD19,Estimate; Total: - Austrian
HD01_VD20,Estimate; Total: - Basque
HD01_VD21,Estimate; Total: - Belgian
HD01_VD22,Estimate; Total: - Brazilian
HD01_VD23,Estimate; Total: - British
HD01_VD24,Estimate; Total: - Bulgarian
HD01_VD25,Estimate; Total: - Cajun
HD01_VD26,Estimate; Total: - Canadian
HD01_VD27,Estimate; Total: - Carpatho Rusyn
HD01_VD28,Estimate; Total: - Celtic
HD01_VD29,Estimate; Total: - Croatian
HD01_VD30,Estimate; Total: - Cypriot
HD01_VD31,Estimate; Total: - Czech
HD01_VD32,Estimate; Total: - Czechoslovakian
HD01_VD33,Estimate; Total: - Danish
HD01_VD34,Estimate; Total: - Dutch
HD01_VD35,Estimate; Total: - Eastern European
HD01_VD36,Estimate; Total: - English
HD01_VD37,Estimate; Total: - Estonian
HD01_VD38,Estimate; Total: - European
HD01_VD39,Estimate; Total: - Finnish
HD01_VD40,Estimate; Total: - French (except Basque)
HD01_VD41,Estimate; Total: - French Canadian
HD01_VD42,Estimate; Total: - German
HD01_VD43,Estimate; Total: - German Russian
HD01_VD44,Estimate; Total: - Greek
HD01_VD45,Estimate; Total: - Guyanese
HD01_VD46,Estimate; Total: - Hungarian
HD01_VD47,Estimate; Total: - Icelander
HD01_VD48,Estimate; Total: - Iranian
HD01_VD49,Estimate; Total: - Irish
HD01_VD50,Estimate; Total: - Israeli
HD01_VD51,Estimate; Total: - Italian
HD01_VD52,Estimate; Total: - Latvian
HD01_VD53,Estimate; Total: - Lithuanian
HD01_VD54,Estimate; Total: - Luxemburger
HD01_VD55,Estimate; Total: - Macedonian
HD01_VD56,Estimate; Total: - Maltese
HD01_VD57,Estimate; Total: - New Zealander
HD01_VD58,Estimate; Total: - Northern European
HD01_VD59,Estimate; Total: - Norwegian
HD01_VD60,Estimate; Total: - Pennsylvania German
HD01_VD61,Estimate; Total: - Polish
HD01_VD62,Estimate; Total: - Portuguese
HD01_VD63,Estimate; Total: - Romanian
HD01_VD64,Estimate; Total: - Russian
HD01_VD65,Estimate; Total: - Scandinavian
HD01_VD66,Estimate; Total: - Scotch-Irish
HD01_VD67,Estimate; Total: - Scottish
HD01_VD68,Estimate; Total: - Serbian
HD01_VD69,Estimate; Total: - Slavic
HD01_VD70,Estimate; Total: - Slovak
HD01_VD71,Estimate; Total: - Slovene
HD01_VD72,Estimate; Total: - Soviet Union
HD01_VD73,Estimate; Total: - Subsaharan African:
HD01_VD74,Estimate; Total: - Subsaharan African: - Cape Verdean
HD01_VD75,Estimate; Total: - Subsaharan African: - Ethiopian
HD01_VD76,Estimate; Total: - Subsaharan African: - Ghanaian
HD01_VD77,Estimate; Total: - Subsaharan African: - Kenyan
HD01_VD78,Estimate; Total: - Subsaharan African: - Liberian
HD01_VD79,Estimate; Total: - Subsaharan African: - Nigerian
HD01_VD80,Estimate; Total: - Subsaharan African: - Senegalese
HD01_VD81,Estimate; Total: - Subsaharan African: - Sierra Leonean
HD01_VD82,Estimate; Total: - Subsaharan African: - Somali
HD01_VD83,Estimate; Total: - Subsaharan African: - South African
HD01_VD84,Estimate; Total: - Subsaharan African: - Sudanese
HD01_VD85,Estimate; Total: - Subsaharan African: - Ugandan
HD01_VD86,Estimate; Total: - Subsaharan African: - Zimbabwean
HD01_VD87,Estimate; Total: - Subsaharan African: - African
HD01_VD88,Estimate; Total: - Subsaharan African: - Other Subsaharan African
HD01_VD89,Estimate; Total: - Swedish
HD01_VD90,Estimate; Total: - Swiss
HD01_VD91,Estimate; Total: - Turkish
HD01_VD92,Estimate; Total: - Ukrainian
HD01_VD93,Estimate; Total: - Welsh
HD01_VD94,Estimate; Total: - West Indian (except Hispanic groups):
HD01_VD95,Estimate; Total: - West Indian (except Hispanic groups): - Bahamian
HD01_VD96,Estimate; Total: - West Indian (except Hispanic groups): - Barbadian
HD01_VD97,Estimate; Total: - West Indian (except Hispanic groups): - Belizean
HD01_VD98,Estimate; Total: - West Indian (except Hispanic groups): - Bermudan
HD01_VD99,Estimate; Total: - West Indian (except Hispanic groups): - British West Indian
HD01_VD100,Estimate; Total: - West Indian (except Hispanic groups): - Dutch West Indian
HD01_VD101,Estimate; Total: - West Indian (except Hispanic groups): - Haitian
HD01_VD102,Estimate; Total: - West Indian (except Hispanic groups): - Jamaican
HD01_VD103,Estimate; Total: - West Indian (except Hispanic groups): - Trinidadian and Tobagonian
HD01_VD104,Estimate; Total: - West Indian (except Hispanic groups): - U.S. Virgin Islander
HD01_VD105,Estimate; Total: - West Indian (except Hispanic groups): - West Indian
HD01_VD106,Estimate; Total: - West Indian (except Hispanic groups): - Other West Indian
HD01_VD107,Estimate; Total: - Yugoslavian
HD01_VD108,Estimate; Total: - Other groups
HD01_VD109,Estimate; Total: - Unclassified or not reported
