,STATE,HD01_VD01,HD01_VD02,HD01_VD03,HD01_VD04,HD01_VD05,HD01_VD06,HD01_VD07,HD01_VD08,HD01_VD09,HD01_VD10,HD01_VD11,HD01_VD12,HD01_VD13,HD01_VD14,HD01_VD15,HD01_VD16,HD01_VD17,HD01_VD18,HD01_VD19,HD01_VD20,HD01_VD21,HD01_VD22,HD01_VD23,HD01_VD24,HD01_VD25,HD01_VD26,HD01_VD27,HD01_VD28,HD01_VD29,HD01_VD30,HD01_VD31,HD01_VD32,HD01_VD33,HD01_VD34,HD01_VD35,HD01_VD36,HD01_VD37,HD01_VD38,HD01_VD39,HD01_VD40,HD01_VD41,HD01_VD42,HD01_VD43,HD01_VD44,HD01_VD45,HD01_VD46,HD01_VD47,HD01_VD48,HD01_VD49,HD01_VD50,HD01_VD51,HD01_VD52,HD01_VD53,HD01_VD54,HD01_VD55,HD01_VD56,HD01_VD57,HD01_VD58,HD01_VD59,HD01_VD60,HD01_VD61,HD01_VD62,HD01_VD63,HD01_VD64,HD01_VD65,HD01_VD66,HD01_VD67,HD01_VD68,HD01_VD69,HD01_VD70,HD01_VD71,HD01_VD72,HD01_VD73,HD01_VD74,HD01_VD75,HD01_VD76,HD01_VD77,HD01_VD78,HD01_VD79,HD01_VD80,HD01_VD81,HD01_VD82,HD01_VD83,HD01_VD84,HD01_VD85,HD01_VD86,HD01_VD87,HD01_VD88,HD01_VD89,HD01_VD90,HD01_VD91,HD01_VD92,HD01_VD93,HD01_VD94,HD01_VD95,HD01_VD96,HD01_VD97,HD01_VD98,HD01_VD99,HD01_VD100,HD01_VD101,HD01_VD102,HD01_VD103,HD01_VD104,HD01_VD105,HD01_VD106,HD01_VD107,HD01_VD108,HD01_VD109
0,Alabama,4841164,87,157,16,756282,12524,982,283,484,5320,314,1017,488,2091,1778,701,80,729,3056,23,1376,902,21851,455,1731,3653,52,688,1449,8,5009,1916,4668,37478,1583,371169,120,55022,2286,74550,8529,329682,142,8446,349,5430,107,1339,426904,651,82171,289,2104,227,160,213,72,1958,15186,498,28813,2646,1445,8576,3763,73881,86461,370,622,1971,322,0,45641,50,848,256,975,69,1790,87,13,26,770,241,112,61,39587,879,16281,3763,1012,2458,19275,10113,701,267,112,78,200,753,2456,4292,492,186,775,80,690,1896683,1071911
1,Alaska,736855,187,411,28,32789,1286,79,2,0,649,59,228,183,75,106,252,3,379,1733,195,696,192,3323,273,151,2153,11,189,649,0,3655,554,5369,11638,1014,60367,82,15740,4606,19580,5860,114677,126,2488,61,2406,316,265,73514,89,20774,185,1044,67,446,8,137,2828,26553,480,15200,2359,655,9951,4520,9074,18096,374,349,836,278,0,3594,7,133,73,73,3,346,4,0,385,100,625,0,0,1729,159,16355,3244,471,2430,6757,1304,0,65,89,0,24,42,356,446,125,28,187,0,634,317994,104380
2,Arizona,6728577,1411,1418,208,311076,37584,2772,7119,1695,8759,1256,1531,2999,6274,6283,5123,3386,2758,14197,2069,6095,2902,31898,2323,627,24075,64,1448,7574,34,27558,6858,42721,86682,8940,559227,596,89877,15399,157901,32016,924471,490,22150,337,27615,1574,8435,611929,1912,288468,1438,10811,1032,639,598,789,6222,115262,2306,157024,15903,12428,51542,19469,54099,122029,6339,2435,9294,2664,8,38017,368,3001,556,949,690,3256,46,74,2382,1372,1432,39,210,21699,2547,100414,18232,2796,14839,44450,10269,231,338,642,77,395,454,1744,4008,812,38,1555,14,7804,2984304,995827
3,Arkansas,2968472,16,162,31,327518,5401,394,268,244,1114,201,491,706,1202,851,333,203,352,2245,143,1182,505,9419,307,2299,2584,0,383,677,0,7090,1728,5343,40270,580,272786,93,45674,1218,55587,6558,316617,52,2964,56,2873,87,617,315577,64,46551,174,1727,67,42,130,26,1257,13897,558,24852,2864,1347,4671,3204,37353,50243,488,356,1134,253,0,8801,0,195,140,81,21,389,6,0,0,219,0,11,30,7384,345,15791,5763,345,1610,13704,3631,62,22,101,0,41,2094,249,599,209,0,234,33,477,1107914,721631
4,California,38654206,39900,4292,923,1254843,290748,46874,23993,12875,58689,10504,19595,27095,46577,53886,256131,36195,19253,74448,18647,25681,36470,157068,13090,2957,87083,337,5220,48984,627,83211,23763,168048,358271,72340,2165661,3241,564652,54747,694335,112077,3144128,2647,135321,3573,121103,6297,209605,2489856,30728,1494485,10394,50084,2273,2600,7432,4776,50980,387103,6073,493956,346172,64718,418072,69579,222072,504305,18423,11244,24469,8675,323,260388,2744,33781,6021,5891,1362,29270,610,877,5479,10746,1715,1775,924,152670,9650,405788,102996,26041,106784,162179,85041,597,2128,22637,468,1841,1778,10272,30787,5742,613,9303,427,31424,23134797,4112201
5,Colorado,5359295,1965,1137,170,266128,20774,1220,1119,724,6671,931,774,1710,2859,5318,3473,120,2912,18970,2321,6708,2684,34144,1787,1337,12368,153,1376,6218,27,36375,8289,41072,92880,11060,541435,576,103764,11579,152871,27283,1085377,1167,20025,130,21060,1058,4972,619783,1484,268906,2406,9940,760,319,222,807,11145,117886,2181,131712,11470,6706,58615,22480,64783,137400,2670,4422,9106,6726,25,42758,65,9914,2549,483,667,2876,172,152,3240,1674,1277,272,78,17582,2652,125587,23111,2232,13963,47428,8851,166,142,338,72,310,462,1659,3674,651,84,1432,19,6027,1784210,836607
6,Connecticut,3588570,876,11557,203,147244,23458,2223,523,481,8560,2160,627,2502,2520,4283,4530,483,1125,13563,171,2654,18835,17050,858,183,15885,232,955,3576,141,12517,5568,11067,25336,13152,310599,1174,27751,5833,192169,97830,321894,62,30496,3463,35679,436,2452,559689,1121,635091,1852,26030,149,949,568,262,3217,19397,408,271302,49167,6285,61828,3961,18289,63993,876,2226,19033,998,43,35627,3882,856,3541,148,717,3611,364,20,316,1143,290,204,116,19404,1634,58685,8274,4573,21377,14422,88753,217,1488,98,213,2823,92,20684,54222,2843,414,6900,130,5533,1007529,393817
7,Delaware,934695,185,118,40,59240,2939,723,87,92,779,286,172,261,170,413,518,0,260,1845,17,460,419,3860,201,174,1299,38,78,453,22,2112,904,1704,10435,1305,92642,43,8175,467,17585,3356,126143,196,4044,486,4161,58,712,150276,142,89640,164,2626,14,16,50,0,511,3978,2514,39976,1862,779,7081,1138,6307,14259,167,505,1715,238,0,10994,68,131,654,1207,448,1196,0,120,0,152,5,0,0,6768,482,7297,1659,977,4412,6802,8888,92,138,177,133,40,65,3518,3202,889,26,702,0,311,322818,137689
8,District of Columbia,659009,31,380,0,15537,4374,526,77,87,1347,535,385,361,455,740,928,98,540,2071,50,532,1373,4982,368,93,1104,40,57,770,79,1605,216,1717,3828,5488,33617,106,13666,716,9626,2353,45987,20,2246,848,2568,126,1739,44328,413,25588,491,1911,92,89,53,100,872,4276,111,13964,1497,1205,10712,1135,4059,9092,673,280,1242,322,45,19907,109,6446,416,307,174,2753,97,285,17,316,134,56,77,7672,1303,4721,1883,947,2743,2924,8892,203,117,92,30,424,20,1402,4398,1298,100,1056,91,150,330842,119739
9,Florida,19934451,1879,11602,475,1771767,115070,14251,2886,3574,36486,11334,8311,11271,16645,13534,11246,814,4679,48229,1990,16112,72531,99655,7114,3556,69465,357,2175,17921,434,53281,15798,42178,191548,33932,1415402,2544,207096,26739,452957,111006,1991173,581,90960,24636,98806,1654,14878,1772128,16060,1179470,4982,36422,898,2708,2543,958,10226,115916,7990,484590,69147,36058,210301,22566,161135,312177,10690,6830,29554,5501,129,126386,2898,3892,2145,929,922,11309,474,66,228,6588,1341,213,500,92998,3450,148771,36415,17913,49805,92766,882777,30763,6297,5152,892,15012,1101,466547,289089,34116,5620,40103,1786,15088,7990689,2907754
